Country_Name,Country_Code,Indicator_Name,Indicator_Code,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.965517241379317,0.409836065573771,-0.408163265306129,-4.09836065573771,1.85185185185186,-2.65734265734265,-4.16666666666666,0.299850074962521,0,-4.33482810164425,-2.5,1.76282051282051,3.14960629921259,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.8603814759073,7.92293661199932,7.92343062148318,8.06073257166651,7.6608150670107,3.08669805921981,7.86188883286074,8.49758470221235,5.24131619938926,5.45638755164701,6.38610640092348,7.41022760516408,7.99625378566586,8.25630550178155,6.79538341898569,6.4538513449766,3.87143694070957,-5.77772470687434,9.68959249191211
Other small states,OSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.51821928109177,4.93802711659484,4.94193629229194,6.39726990504643,6.35043993181057,2.05764255095009,-3.59888262727243,2.71339755474523,3.00357203777814,1.63152052808375,1.70147807917355,2.41518620047516,3.36494787653683,3.8912084246695,4.76330819546558,3.97088218742294,4.06419882121789,-5.71729190315421,6.58600635011335
Europe & Central Asia (IDA & IBRD countries),TEC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.18124734901077,7.86813186586978,6.64326064519712,7.853186716488,7.62753658428245,4.45629803386404,-4.67251564030255,4.63262462961245,5.92848340033075,3.45602286525539,3.39150568218889,2.33777127305463,1.48815723386977,1.8525064629824,4.29253214633275,3.69471936803782,2.65714284041665,-1.46289536902678,7.38646816523473
St. Kitts and Nevis,KNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.93339486032939,3.99634666125431,9.73282070298016,3.15038119968223,0.600602326543751,11.1785279683724,-3.37930611341334,0.0439776540971621,1.61660730423688,-0.525762355415353,5.70982297813258,7.36556170803422,0.694135527876625,3.93270319273282,0.220941147299996,2.00352549800972,2.83126737870639,-15.3544517590966,0.479678356753311
Suriname,SUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.29999943314137,8.50000018479413,4.50000021086888,5.79354358463304,5.11148777773458,4.14340681165626,3.01369898266211,5.16882515225814,5.84936767173009,2.69034974668847,2.9334416518612,0.255503031645475,-3.41304268067621,-4.91166050905851,1.56603782534897,4.94827108468886,1.16758977233877,-15.9751917148622,-2.43538583612838
Malta,MLT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.07406758949939,0.140268537240203,3.38359372183241,2.51014276491905,4.77470580212453,3.8263591660248,-1.13387365460049,5.5436400107222,0.467050564252716,4.11770637605775,5.47335591422899,7.6335384644276,9.6081323482308,3.38145047586738,10.8692692319326,7.41626982344488,7.1242612165712,-8.15677876534716,12.5139471706304
"Macao SAR, China",MAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.6406279553622,26.6303427057285,8.07569424747268,13.3901469197364,14.4767411392737,3.39134349083308,1.27440707233202,25.1225945599347,21.616648080154,9.24226499297308,10.7527800789862,-2.04830363415093,-21.5144021947741,-0.679023626830443,9.8600273155359,6.40517849433957,-2.56352273205944,-54.3358756393687,23.5355669383932
Palau,PLW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.22333433814303,3.93905372010572,3.41398954213761,-0.12372305506662,1.75400329499828,-5.49393600258631,-7.26061221684758,-0.895890472497513,5.1182793171608,1.25345368709932,-3.03629804418313,5.2944551398963,9.74841343438212,0.882451194361991,-3.53960966207958,0.633500456681062,0.909470287297864,-7.56802122871169,-14.1640511125218
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.20240814177109,7.44767956797858,9.37788952445548,9.22706782580049,7.63328434196235,11.161263870131,6.24826524602575,7.33465478667033,7.95838541860303,8.64150670706853,4.71984883125351,6.16716027348659,8.85686468710109,5.97074118840038,3.9181656502967,8.51646830600681,9.44739158975898,-3.37369377003786,10.8579671876279
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.85472061032668,7.55695579032634,7.10096580334807,8.11240850217312,8.70205555705932,5.83585509540794,2.96973926588133,7.6831010647312,6.20346196644704,5.28463225246539,5.22325358422692,4.84630868421327,4.32675343024572,4.45496451944591,5.14241842009484,4.89001452039273,3.9791190559074,-1.35543501142301,7.38665926475153
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.10427567346218,4.46925885476534,4.00586591028021,4.4427926960624,4.37327669000229,2.06249593292573,-1.35578209060768,4.52954597288344,3.32713269662275,2.70911515835066,2.86822214282918,3.12386991048261,3.12613558771196,2.82055728507054,3.46023911788988,3.28661298847909,2.64221643519326,-2.93204334405938,6.25985128447172
Nepal,NPL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.94503776051116,4.68260325152944,3.47918104829496,3.36461478056277,3.41156027980276,6.10463914373472,4.5330787246486,4.81641464694573,3.42180870116162,4.67014192446953,3.52515317129149,6.01148284250441,3.97605327162971,0.433113719381524,8.97727935643466,7.62237610397933,6.65705543110468,-2.3696206292072,4.838149614115
Turkmenistan,TKM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.26882855955344,5.00040743766748,13.034034870022,10.9733083254017,11.05929947045,14.7,6.10000011485643,9.19999998805483,14.6999999278723,11.0999999615545,10.200000101399,10.2999999705459,6.49999990951666,6.1999999664301,6.50000004682975,6.19999994137119,6.30000004226711,5.89999999999999,6.2
Uruguay,URY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.805283915893824,5.00416035564457,7.4601321302473,4.09857735445401,6.54151084504817,7.17614466455107,4.24349419462426,7.8034096507169,5.16213302463606,3.53817872056869,4.63753862902416,3.23879122952364,0.370741257681345,1.68979815933486,1.74037649262446,0.164518266525505,0.928565543252915,-7.38009884092411,5.56189279343275
